,date,code,presettle,open,high,low,close,settle,volume,amount,oi,factor,dlv_day,dlv_week,
32,20150602,IC1506,10865.8,11058,11385,10830,11250.4,11271,280807,62287339.29,44075,1.018664619,0,0,
33,20150603,IC1506,11271,11281.2,11436,10809,11103.2,11143.4,334871,74854326.56,44367,1.018664619,0,0,
34,20150604,IC1506,11143.4,11127,11255.4,10030,10869.2,10761,376160,80577804.2,35808,1.018664619,0,0,
35,20150605,IC1506,10761,10900,11258,10540,10949,10939.2,337852,74130792.19,33977,1.018664619,0,0,
36,20150608,IC1506,10939.2,10840,10939.2,10384.2,10602.6,10701.6,305756,65023604.74,31732,1.018664619,0,0,
37,20150609,IC1506,10701.6,10599,10950,10453,10700.4,10690.2,322063,68998150.82,31957,1.018664619,0,0,
38,20150610,IC1506,10690.2,10608,11326,10600,10987.8,11105.2,312337,68588626.6,34462,1.018664619,0,0,
39,20150611,IC1506,11105.2,11094.8,11290,10920.2,11258.8,11200,267772,59460171.66,33448,1.018664619,0,0,
40,20150612,IC1506,11200,11293,11585,11221.8,11427.8,11461.4,253743,57857046.91,29351,1.018664619,0,0,
41,20150615,IC1506,11461.4,11461.4,11560,11023,11228.6,11282.8,237446,53809514.38,27571,1.018664619,0,1,
42,20150616,IC1506,11282.8,11238,11238,10656.2,10839,10795.8,296168,64520623.12,20877,1.018664619,0,1,
43,20150617,IC1506,10795.8,10837.6,11117.6,10504.4,11033.4,11029,255006,55085215.74,15555,1.018664619,0,1,
44,20150618,IC1506,11029,11055,11148,10662.4,10672.6,10807.6,125240,27549377.61,6808,1.018664619,0,1,
45,20150619,IC1507,10712,10535,10609.6,9950,9990,10100.8,385745,79434364.35,31879,1.027755763,1,1,
46,20150623,IC1507,10100.8,9977,10100,9375.2,9862.6,9902.4,363010,71480494.34,34580,1.027755763,0,0,
47,20150624,IC1507,9902.4,9888,10214.4,9710.8,10058,9993.8,336011,66996027.16,30433,1.027755763,0,0,
48,20150625,IC1507,9993.8,10101,10140,9335,9381.6,9587.6,355666,70106772.88,29295,1.027755763,0,0,
49,20150626,IC1507,9587.6,9380,9390,8629,8629,8631.4,296036,53269618.05,31210,1.027755763,0,0,
50,20150629,IC1507,8631.4,8788,8800,7768.4,7768.4,7847.8,370110,60805874.53,26304,1.027755763,0,0,
51,20150630,IC1507,7847.8,7768,8629,7557,8346,8343.6,417585,67628234.44,25361,1.027755763,0,0,
52,20150701,IC1507,8343.6,8396,8800,7509.4,7509.4,7937.2,418824,70461120.32,24877,1.027755763,0,0,
53,20150702,IC1507,7937.2,7910,8277,7323.8,7667.8,7535.2,502523,77971549.68,20707,1.027755763,0,0,
54,20150703,IC1507,7535.2,7718,7936.4,7072.4,7404.8,7424.8,407628,60831606.22,24505,1.027755763,0,0,
55,20150706,IC1507,7424.8,8167.2,8167.2,6701.6,7440,7240.2,345855,50322491.28,23966,1.027755763,0,0,
56,20150707,IC1507,7240.2,7303.6,7438,6516.2,6516.2,6618.4,126905,17572960.19,22106,1.027755763,0,0,
57,20150708,IC1507,6618.4,6202,7280.2,5956.6,5956.6,5956.6,37070,4715657.872,15144,1.027755763,0,0,
58,20150709,IC1507,5956.6,5956.6,6552.2,5900,6552.2,6552.2,17083,2166430.968,13333,1.027755763,0,0,
59,20150710,IC1507,6552.2,6894,7207.4,6888,7207.4,7207.4,11110,1587112.38,11715,1.027755763,0,0,
60,20150713,IC1507,7207.4,7500,7928,7307.4,7569.6,7756.2,95522,14731614.47,10281,1.027755763,0,1,
61,20150714,IC1507,7756.2,7749,7970,7532,7645,7715.8,116607,18036162.54,6837,1.027755763,0,1,
62,20150715,IC1507,7715.8,7613.6,7655.8,7002,7136,7151.4,92798,13604685.65,5579,1.027755763,0,1,
63,20150716,IC1507,7151.4,7120,7765,6989,7531.8,7498,54002,8009190.564,1828,1.027755763,0,1,
64,20150717,IC1508,7143.4,7224.8,7857.6,7224.8,7857.6,7782.6,134674,20334845.62,10762,1.078773793,1,1,
